Feature,Coefficient,Odds_Ratio
http,1.8111586139256939,6.117531184592451
escapelong,1.5887157821456073,4.897455488338342
info,1.299072325502664,3.665894333051037
pills,1.2731937239390836,3.572243121896953
money,1.1685625771874213,3.2173645998289855
quality,1.1473044409721072,3.14969127775335
hk,1.0975996175968976,2.9969635245212944
life,1.0923861901508085,2.9813797304146337
online,1.0693338725615942,2.913438132369598
dear,0.9648605912461136,2.624421763603097
php,0.9641818642163805,2.622641101974667
shipping,0.9252472800026688,2.5224919450574985
com,0.8861729794256564,2.425828169846145
buy,0.8856708047233931,2.4246102861280012
viagra,0.8825061700021068,2.4169494085640837
medications,0.8785210279783493,2.40733668865567
price,0.8667831644623059,2.379244890547054
company,0.866737231265172,2.3791356067323632
escapelong escapelong,0.8529499761081177,2.346558944481929
net,0.8415938695032504,2.320061907300032
