Feature,Coefficient,Odds_Ratio
enron,-2.62847033666113,0.07218880239010186
attached,-2.2580422081356653,0.10455498140047315
thanks,-2.2479088083182748,0.10561986516401771
subject,-1.8957702968936012,0.15020258988465524
pm,-1.637637836030398,0.19443879657071486
org,-1.5655914953549628,0.20896437515397434
wrote,-1.5273385083953046,0.2171127427767882
gas,-1.5079903602268134,0.2213543738256197
file,-1.3971611542787647,0.2472980092865377
let know,-1.365269553724983,0.255311846452622
meeting,-1.354029057487119,0.25819786807269685
escapenumber pm,-1.346226136569405,0.26022044636548164
original message,-1.3240930150291446,0.26604414773873547
houston,-1.3083277274977072,0.27027164653119906
help,-1.2828011298967437,0.2772595716267447
friday,-1.2603294344963065,0.28356059646880766
original,-1.2115166178906291,0.29774537087388825
questions,-1.1974393348282777,0.30196645775011227
sent,-1.1960144921334095,0.3023970191198009
cc,-1.1683205277551003,0.31088863188891147
