Feature,Mean_Abs_SHAP
enron,0.0632144966429597
http,0.06300607989497359
escapelong,0.0531246579308762
thanks,0.04103855805485097
attached,0.034885774025473604
subject,0.034320986664941634
com,0.03367973645192726
escapenumber escapenumber,0.03077828218007214
org,0.02943594006830171
pm,0.027318305937605154
know,0.026670160884776195
help,0.025741225104376698
escapenumber,0.024320204592922872
let know,0.02160567158645827
wrote,0.020893529589390576
gas,0.020817118086865545
escapenumber pm,0.02079529353575094
sent,0.020310932197859864
file,0.0194848249885237
original message,0.018433058172775182
original,0.01792539840745354
message,0.01734617092123781
list,0.016737375864559836
let,0.01637067452792221
meeting,0.015182121782412544
